"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025,2025
"행정구역별(1)","특성별(1)",특성별(2),계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족
"전국","전체",계,100.0,65.9,1.5,12.5,39.3,33.2,13.4,100.0,72.3,1.5,10.3,39.2,35.7,13.4,100.0,76.4,1.5,10.5,39.0,34.8,14.1,100.0,78.5,1.6,9.8,42.3,33.7,12.6,100.0,82.1,1.8,11.5,40.7,32.8,13.2,100.0,83.1,2.0,12.1,42.4,31.8,11.8,100.0,83.9,3.0,20.4,34.3,27.7,14.5,100.0,78.2,3.2,24.9,32.0,25.6,14.2,100.0,84.5,3.7,24.3,34.4,24.7,12.9
"전국","성별",남자,100.0,79.0,1.5,13.2,39.3,32.7,13.3,100.0,86.3,1.3,9.9,39.2,36.3,13.4,100.0,88.5,1.5,10.7,39.0,34.6,14.1,100.0,88.9,1.6,10.2,42.1,33.7,12.4,100.0,91.4,1.7,12.2,41.0,32.0,13.1,100.0,91.4,2.0,12.7,42.0,31.6,11.6,100.0,90.7,2.9,20.5,33.1,28.3,15.2,100.0,86.1,3.0,25.6,31.9,25.5,14.1,100.0,90.9,4.0,25.2,33.6,24.6,12.6
"전국","성별",여자,100.0,53.2,1.6,11.5,39.5,33.8,13.7,100.0,59.0,1.7,10.8,39.2,34.8,13.4,100.0,64.9,1.5,10.3,38.9,35.2,14.1,100.0,68.5,1.5,9.4,42.6,33.7,12.8,100.0,73.1,2.0,10.6,40.5,33.6,13.3,100.0,74.9,2.0,11.3,42.9,31.9,11.9,100.0,77.3,3.2,20.4,35.6,27.0,13.8,100.0,70.5,3.5,24.2,32.3,25.8,14.3,100.0,78.2,3.4,23.2,35.3,24.9,13.1
"서울특별시","전체",계,100.0,64.8,1.7,14.3,40.4,30.8,12.8,100.0,74.2,1.7,11.9,39.9,32.3,14.2,100.0,74.7,1.3,10.9,37.4,34.1,16.3,100.0,77.6,2.0,11.0,39.6,33.6,13.8,100.0,81.1,2.3,14.3,39.0,29.1,15.3,100.0,86.4,1.9,12.2,40.3,32.9,12.8,100.0,85.8,3.3,19.1,33.1,29.0,15.5,100.0,80.1,3.3,25.7,30.1,26.4,14.6,100.0,83.2,3.5,23.6,30.3,25.4,17.3
"서울특별시","성별",남자,100.0,76.8,1.8,14.6,40.6,30.7,12.3,100.0,85.3,1.6,11.2,40.2,32.7,14.3,100.0,85.7,1.2,11.0,37.4,34.0,16.3,100.0,86.3,2.3,11.5,40.2,32.1,13.9,100.0,90.0,2.3,15.6,37.4,28.8,16.0,100.0,92.9,2.2,13.2,39.0,32.9,12.7,100.0,89.6,3.1,18.2,32.5,30.2,16.0,100.0,86.3,2.9,26.9,29.5,25.7,15.1,100.0,89.0,3.5,24.4,30.1,25.4,16.6
"서울특별시","성별",여자,100.0,53.6,1.5,13.9,40.2,30.9,13.5,100.0,63.8,1.9,12.8,39.5,31.7,14.1,100.0,64.4,1.4,10.8,37.4,34.2,16.3,100.0,69.7,1.7,10.4,38.9,35.3,13.7,100.0,73.0,2.3,12.8,40.9,29.5,14.6,100.0,80.5,1.6,11.1,41.7,32.8,12.8,100.0,82.3,3.6,19.9,33.7,27.9,14.9,100.0,74.4,3.7,24.3,30.8,27.1,14.0,100.0,77.9,3.5,22.8,30.4,25.4,18.0
"부산광역시","전체",계,100.0,66.4,1.1,10.4,32.6,36.4,19.6,100.0,74.4,2.0,10.0,36.3,38.7,13.1,100.0,77.1,1.2,10.4,39.1,34.5,14.7,100.0,78.1,1.1,7.5,42.4,36.0,12.9,100.0,78.4,2.0,7.8,40.5,36.6,13.2,100.0,81.1,1.2,10.9,41.1,36.0,10.8,100.0,85.0,1.8,17.9,37.9,25.7,16.7,100.0,75.5,2.6,26.6,30.8,26.4,13.6,100.0,85.0,3.8,23.9,38.5,23.3,10.5
"부산광역시","성별",남자,100.0,78.0,0.9,11.4,32.7,36.4,18.5,100.0,87.9,1.7,9.4,35.0,39.3,14.6,100.0,88.5,1.2,10.0,37.8,35.3,15.7,100.0,87.4,1.3,6.4,43.6,35.7,13.0,100.0,90.3,2.4,6.9,40.7,36.4,13.5,100.0,89.4,0.6,11.1,40.0,37.0,11.2,100.0,90.5,2.1,18.0,36.4,25.9,17.6,100.0,84.1,2.8,26.4,29.8,26.9,14.2,100.0,90.0,4.5,25.0,36.5,23.5,10.5
"부산광역시","성별",여자,100.0,55.7,1.3,9.0,32.5,36.3,20.9,100.0,62.0,2.4,10.8,37.8,37.9,11.1,100.0,66.7,1.2,10.9,40.8,33.6,13.6,100.0,69.4,0.9,8.9,41.0,36.4,12.8,100.0,67.4,1.5,8.8,40.1,36.7,12.8,100.0,73.3,1.8,10.7,42.3,34.8,10.4,100.0,79.8,1.6,17.7,39.5,25.5,15.7,100.0,67.5,2.5,27.0,31.9,25.8,12.8,100.0,80.4,3.0,22.8,40.6,23.1,10.5
"대구광역시","전체",계,100.0,65.9,1.3,9.6,33.7,40.9,14.4,100.0,70.7,1.3,9.3,35.2,38.0,16.2,100.0,72.3,0.7,8.9,36.3,40.6,13.5,100.0,74.9,1.2,9.8,43.9,35.2,9.8,100.0,78.0,1.2,9.5,39.5,38.7,11.1,100.0,78.4,1.1,11.3,41.5,37.3,8.8,100.0,81.5,1.9,18.3,34.6,32.2,13.0,100.0,74.7,2.0,22.3,32.1,31.4,12.2,100.0,83.7,2.6,20.9,35.9,30.2,10.4
"대구광역시","성별",남자,100.0,78.1,0.8,9.5,33.5,40.8,15.4,100.0,84.5,0.8,10.0,33.3,38.9,17.0,100.0,87.0,0.7,8.8,36.5,39.2,14.8,100.0,88.4,1.5,9.7,43.4,35.5,9.8,100.0,87.4,1.1,9.3,38.8,39.4,11.4,100.0,87.0,0.8,12.7,38.5,38.2,9.8,100.0,89.8,1.7,18.4,33.4,32.8,13.7,100.0,82.3,1.9,21.4,33.5,31.4,11.8,100.0,89.6,2.6,21.0,36.0,29.6,10.8
"대구광역시","성별",여자,100.0,54.5,1.9,9.7,34.0,41.2,13.2,100.0,57.7,1.9,8.3,37.8,36.8,15.2,100.0,58.7,0.8,9.0,36.0,42.4,11.8,100.0,62.3,0.8,9.9,44.6,34.8,9.8,100.0,69.2,1.3,9.7,40.3,38.0,10.7,100.0,70.2,1.6,9.7,44.9,36.3,7.5,100.0,73.5,2.2,18.1,36.1,31.5,12.1,100.0,67.7,2.1,23.4,30.5,31.4,12.6,100.0,78.4,2.6,20.8,35.9,30.8,9.9
"인천광역시","전체",계,100.0,61.9,1.5,11.2,40.4,33.4,13.5,100.0,74.5,1.1,8.2,38.3,35.7,16.6,100.0,75.7,2.0,8.5,37.0,37.0,15.5,100.0,78.1,1.3,8.8,42.6,33.7,13.6,100.0,81.2,1.5,10.3,40.0,34.0,14.2,100.0,83.5,2.3,13.2,41.9,29.5,13.1,100.0,80.8,3.0,19.8,33.0,29.0,15.3,100.0,76.8,3.4,22.0,33.0,26.2,15.4,100.0,85.3,3.4,21.6,39.8,23.9,11.2
"인천광역시","성별",남자,100.0,76.2,1.3,11.6,38.4,34.7,14.0,100.0,86.8,1.1,7.2,40.3,35.6,15.8,100.0,87.3,2.1,7.6,37.2,36.8,16.3,100.0,89.2,1.1,8.6,43.1,33.6,13.6,100.0,90.7,1.4,10.1,41.4,33.8,13.3,100.0,91.7,2.8,14.1,43.0,27.0,12.9,100.0,91.8,3.1,18.8,32.4,29.5,16.1,100.0,86.2,3.2,21.4,32.5,27.4,15.5,100.0,91.7,3.5,22.2,38.7,23.4,12.2
"인천광역시","성별",여자,100.0,47.9,1.8,10.7,43.5,31.3,12.7,100.0,62.6,1.2,9.6,35.6,35.9,17.7,100.0,64.4,1.8,9.6,36.7,37.3,14.5,100.0,67.0,1.5,8.9,41.9,33.9,13.6,100.0,71.9,1.7,10.5,38.3,34.2,15.3,100.0,75.3,1.7,12.2,40.5,32.4,13.2,100.0,69.9,2.8,21.0,33.7,28.3,14.3,100.0,67.5,3.6,22.7,33.7,24.6,15.3,100.0,79.0,3.4,20.9,41.1,24.5,10.1
"광주광역시","전체",계,100.0,62.6,1.4,10.2,43.5,31.7,13.3,100.0,75.7,0.9,9.8,41.2,36.2,12.0,100.0,76.2,1.6,7.7,43.5,33.4,13.8,100.0,78.6,0.9,9.2,42.9,34.7,12.3,100.0,83.3,1.3,13.9,40.7,32.2,11.9,100.0,84.8,2.0,10.5,47.0,29.2,11.4,100.0,82.5,2.6,23.8,32.3,27.8,13.4,100.0,76.2,3.1,24.7,35.9,22.4,13.9,100.0,82.6,4.1,24.5,37.0,22.8,11.6
"광주광역시","성별",남자,100.0,74.2,2.0,9.6,44.0,31.5,13.0,100.0,87.3,0.7,9.8,41.2,36.0,12.3,100.0,90.8,1.6,7.5,44.0,34.1,12.8,100.0,88.9,1.0,10.3,40.3,35.0,13.5,100.0,91.3,1.6,14.6,40.1,31.8,11.9,100.0,89.4,2.3,10.4,49.0,28.7,9.7,100.0,88.6,2.6,25.3,29.7,27.4,15.0,100.0,84.0,2.3,26.9,36.0,22.3,12.5,100.0,87.4,4.2,24.6,36.3,24.2,10.6
"광주광역시","성별",여자,100.0,51.7,0.5,11.0,42.8,32.1,13.6,100.0,64.9,1.1,9.9,41.1,36.3,11.6,100.0,62.6,1.6,8.1,42.9,32.4,15.0,100.0,69.2,0.8,8.1,46.0,34.4,10.8,100.0,75.5,0.8,13.1,41.4,32.7,12.0,100.0,80.6,1.7,10.6,44.9,29.7,13.1,100.0,76.7,2.7,22.3,35.1,28.3,11.6,100.0,68.8,4.1,22.1,35.8,22.5,15.5,100.0,78.0,4.0,24.3,37.7,21.4,12.6
"대전광역시","전체",계,100.0,68.5,2.6,10.8,39.8,31.2,15.6,100.0,70.4,1.5,10.1,39.1,34.8,14.4,100.0,77.1,1.7,11.2,41.0,34.6,11.5,100.0,79.2,1.8,10.6,43.8,32.4,11.4,100.0,80.7,1.4,12.6,39.2,34.7,12.1,100.0,80.8,1.8,12.8,39.3,36.4,9.7,100.0,84.1,2.4,24.5,32.3,25.7,15.1,100.0,73.9,3.5,26.3,33.6,23.3,13.2,100.0,82.5,3.8,30.5,30.9,24.5,10.2
"대전광역시","성별",남자,100.0,79.9,2.9,11.6,37.7,31.2,16.6,100.0,84.2,1.6,9.5,39.4,34.1,15.5,100.0,91.7,2.2,9.9,41.7,35.0,11.1,100.0,89.6,1.8,10.9,42.8,33.1,11.4,100.0,92.1,1.1,13.6,39.0,34.2,12.0,100.0,90.1,1.7,13.1,40.7,35.1,9.4,100.0,90.7,2.6,25.4,31.9,25.2,15.0,100.0,82.7,4.1,26.6,32.5,23.5,13.3,100.0,85.0,4.2,31.2,31.1,23.9,9.6
"대전광역시","성별",여자,100.0,57.5,2.3,9.9,42.6,31.1,14.2,100.0,57.2,1.4,11.0,38.8,35.9,12.9,100.0,63.0,0.9,13.0,39.9,34.1,12.0,100.0,69.3,1.8,10.2,45.1,31.5,11.4,100.0,69.8,1.8,11.3,39.5,35.2,12.1,100.0,71.7,1.9,12.4,37.6,38.0,10.1,100.0,77.5,2.2,23.4,32.9,26.2,15.3,100.0,65.1,2.7,26.0,35.1,23.1,13.1,100.0,80.2,3.4,29.8,30.7,25.2,10.9
"울산광역시","전체",계,100.0,65.1,1.7,13.3,43.0,28.8,13.2,100.0,68.6,1.5,10.3,42.6,33.5,12.2,100.0,77.5,1.8,10.7,44.1,32.0,11.5,100.0,76.6,1.1,8.5,47.9,31.8,10.7,100.0,78.4,1.5,9.7,44.6,30.5,13.6,100.0,78.5,1.7,11.0,40.9,35.1,11.3,100.0,80.9,4.2,19.9,36.3,23.6,16.0,100.0,73.6,2.8,28.0,27.9,26.0,15.3,100.0,80.1,4.8,28.7,32.6,20.7,13.2
"울산광역시","성별",남자,100.0,82.1,2.0,13.7,44.7,27.0,12.6,100.0,87.7,0.7,10.1,43.4,33.7,12.2,100.0,91.3,1.7,11.2,46.7,29.2,11.3,100.0,90.6,1.4,9.4,47.2,31.4,10.7,100.0,90.1,1.9,9.6,47.4,29.0,12.1,100.0,91.2,2.2,10.7,40.9,34.7,11.5,100.0,90.7,4.6,19.6,33.7,24.9,17.2,100.0,83.2,2.1,30.4,26.2,25.3,15.9,100.0,89.2,5.9,30.9,31.2,20.2,11.9
"울산광역시","성별",여자,100.0,47.7,1.0,12.6,40.2,31.9,14.3,100.0,49.1,2.9,10.7,41.3,33.1,12.1,100.0,62.9,1.9,9.9,40.1,36.3,11.7,100.0,61.8,0.7,7.0,49.1,32.4,10.8,100.0,66.0,1.0,9.8,40.7,32.6,15.9,100.0,65.3,1.1,11.6,40.9,35.6,10.9,100.0,70.7,3.7,20.3,39.8,21.7,14.5,100.0,63.7,3.6,24.8,30.2,26.9,14.4,100.0,70.7,3.4,25.8,34.4,21.4,14.9
"세종특별자치시","전체",계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,80.4,1.7,13.0,44.0,30.3,11.1,100.0,84.5,3.0,16.9,41.0,28.8,10.4,100.0,83.4,2.5,15.1,45.3,29.3,7.8,100.0,84.6,3.4,25.4,36.1,23.1,12.0,100.0,77.7,4.7,26.8,29.5,25.2,13.7,100.0,84.6,4.3,25.9,32.9,22.3,14.7
