"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025,2025
"세종특별자치시","성별",남자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,89.5,1.4,13.8,41.3,31.6,11.9,100.0,95.8,2.5,19.1,40.5,28.7,9.2,100.0,95.5,2.2,15.6,45.9,29.1,7.2,100.0,92.7,3.6,26.5,34.7,22.4,12.8,100.0,88.6,5.0,27.9,31.1,23.8,12.2,100.0,92.9,4.9,26.3,31.5,24.4,12.9
"세종특별자치시","성별",여자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,70.5,2.1,11.9,47.7,28.4,10.0,100.0,73.5,3.5,14.2,41.6,28.9,11.8,100.0,71.3,2.9,14.5,44.6,29.5,8.6,100.0,76.4,3.2,24.2,37.8,24.0,10.9,100.0,66.5,4.4,25.2,27.4,27.2,15.8,100.0,76.3,3.5,25.3,34.5,19.8,16.9
"경기도","전체",계,100.0,65.4,1.4,12.6,40.4,33.1,12.4,100.0,69.4,1.5,9.8,39.0,36.6,13.2,100.0,74.4,1.8,11.5,37.0,33.9,15.8,100.0,77.9,1.7,9.4,41.4,32.8,14.7,100.0,82.6,1.7,11.1,39.9,33.4,13.9,100.0,81.4,2.3,12.4,42.2,29.7,13.5,100.0,83.1,2.9,19.8,33.5,27.9,15.9,100.0,79.6,3.3,23.2,32.1,25.2,16.1,100.0,85.2,4.2,24.7,32.3,25.1,13.7
"경기도","성별",남자,100.0,80.2,1.4,13.4,39.7,32.5,12.9,100.0,84.8,1.2,9.3,38.5,38.3,12.7,100.0,87.9,1.8,11.5,36.9,34.1,15.6,100.0,88.8,1.7,9.7,40.1,34.2,14.3,100.0,92.1,1.2,12.0,40.7,32.3,13.8,100.0,91.1,2.3,12.9,41.9,29.7,13.2,100.0,90.7,2.7,20.0,31.8,29.2,16.3,100.0,87.1,2.7,24.5,32.0,25.1,15.6,100.0,92.0,4.3,26.4,31.4,24.7,13.2
"경기도","성별",여자,100.0,50.9,1.4,11.4,41.5,34.1,11.7,100.0,54.4,1.8,10.5,39.8,34.0,13.9,100.0,61.2,1.9,11.4,37.0,33.7,16.0,100.0,67.1,1.6,8.9,43.2,31.0,15.4,100.0,73.1,2.4,10.0,38.9,34.8,13.9,100.0,71.7,2.3,11.7,42.5,29.6,13.9,100.0,75.6,3.2,19.6,35.5,26.4,15.4,100.0,72.0,4.1,21.7,32.2,25.3,16.8,100.0,78.3,4.0,22.7,33.4,25.5,14.3
"강원특별자치도","전체",계,100.0,69.8,1.9,12.3,39.9,31.4,14.5,100.0,69.0,1.2,9.6,39.9,35.9,13.4,100.0,79.5,2.5,12.3,45.9,28.3,10.9,100.0,83.7,2.3,10.4,43.9,31.3,12.1,100.0,85.5,2.1,11.3,44.1,31.4,11.1,100.0,86.0,2.6,12.6,44.7,29.6,10.5,100.0,86.5,3.9,22.9,35.0,27.0,11.2,100.0,77.9,4.3,27.6,34.8,23.5,9.8,100.0,84.5,4.8,25.2,32.8,24.4,12.8
"강원특별자치도","성별",남자,100.0,80.5,2.0,13.7,38.3,31.8,14.3,100.0,82.9,0.7,10.2,40.6,35.6,12.9,100.0,90.5,2.7,12.1,46.4,28.7,10.1,100.0,92.2,2.5,10.6,44.4,30.1,12.2,100.0,93.9,2.7,11.8,46.3,29.1,10.2,100.0,93.1,2.7,12.4,46.0,27.7,11.1,100.0,92.0,3.2,24.0,34.7,26.6,11.5,100.0,87.5,3.7,28.6,34.9,24.1,8.7,100.0,90.4,5.1,24.7,34.0,23.4,12.8
"강원특별자치도","성별",여자,100.0,59.7,1.7,10.6,42.1,30.8,14.8,100.0,55.7,1.8,8.7,39.0,36.3,14.2,100.0,68.9,2.3,12.7,45.2,27.9,11.9,100.0,75.4,2.0,10.1,43.2,32.7,12.0,100.0,77.4,1.5,10.7,41.6,34.1,12.1,100.0,79.0,2.5,12.7,43.3,31.8,9.7,100.0,80.9,4.6,21.8,35.3,27.4,10.9,100.0,68.5,4.9,26.4,34.8,22.8,11.0,100.0,78.7,4.4,25.7,31.5,25.5,13.0
"충청북도","전체",계,100.0,67.9,1.4,10.4,39.0,33.4,15.8,100.0,71.2,1.0,10.3,38.9,36.4,13.4,100.0,80.3,2.1,10.3,40.1,32.9,14.5,100.0,81.4,2.1,9.2,40.7,35.4,12.6,100.0,84.0,2.2,11.0,38.5,33.2,15.1,100.0,83.6,1.7,10.7,44.6,32.0,11.0,100.0,78.6,3.3,22.9,35.8,25.8,12.2,100.0,79.5,4.0,26.9,27.8,27.8,13.6,100.0,86.9,2.6,24.7,33.9,26.8,12.0
"충청북도","성별",남자,100.0,79.7,1.4,9.5,38.8,34.4,15.8,100.0,86.7,0.4,9.7,39.6,36.7,13.6,100.0,91.5,1.9,10.4,40.4,32.3,15.0,100.0,92.5,2.3,8.7,38.8,37.3,12.8,100.0,91.5,1.9,11.6,39.0,33.8,13.8,100.0,93.1,2.0,9.9,43.6,33.1,11.4,100.0,89.4,3.2,22.3,35.7,26.9,11.9,100.0,87.7,4.5,26.2,27.7,28.1,13.5,100.0,92.8,2.8,25.0,32.5,26.4,13.3
"충청북도","성별",여자,100.0,56.3,1.4,11.8,39.2,32.1,15.6,100.0,56.0,1.9,11.2,37.8,36.0,13.1,100.0,69.2,2.3,10.2,39.7,33.8,14.0,100.0,70.5,2.0,9.9,43.1,32.9,12.2,100.0,76.5,2.7,10.3,37.9,32.5,16.6,100.0,73.9,1.4,11.7,45.8,30.6,10.4,100.0,67.5,3.5,23.8,35.9,24.4,12.5,100.0,71.1,3.4,27.7,27.8,27.4,13.7,100.0,80.9,2.2,24.2,35.7,27.3,10.5
"충청남도","전체",계,100.0,67.9,2.3,14.2,40.9,32.3,10.2,100.0,74.6,1.8,12.5,37.9,34.1,13.8,100.0,78.5,1.6,11.1,40.4,35.5,11.3,100.0,80.0,1.7,11.2,45.0,31.2,10.9,100.0,81.6,1.7,9.9,44.7,31.0,12.8,100.0,83.4,2.2,12.3,45.2,28.6,11.6,100.0,84.5,4.2,24.7,35.7,23.1,12.2,100.0,75.4,4.4,27.3,32.7,23.6,12.1,100.0,85.1,3.6,26.3,40.3,21.1,8.7
"충청남도","성별",남자,100.0,82.8,2.1,16.4,40.5,31.1,9.8,100.0,89.7,1.7,11.9,37.1,35.7,13.5,100.0,90.4,2.0,11.5,41.9,32.6,12.0,100.0,92.1,0.8,12.1,45.2,32.2,9.8,100.0,92.3,1.4,10.7,45.3,30.2,12.3,100.0,91.5,1.6,13.5,46.7,26.2,12.0,100.0,91.7,4.5,25.6,34.7,21.8,13.4,100.0,86.3,4.6,28.8,32.6,23.5,10.5,100.0,94.0,3.5,28.4,38.5,20.4,9.2
"충청남도","성별",여자,100.0,53.0,2.6,10.8,41.5,34.2,10.9,100.0,59.5,1.8,13.3,39.0,31.6,14.3,100.0,66.5,1.0,10.5,38.5,39.6,10.4,100.0,67.8,2.9,10.0,44.7,29.9,12.5,100.0,70.4,2.0,8.7,43.9,32.0,13.3,100.0,74.9,2.9,10.8,43.3,31.8,11.2,100.0,76.9,3.9,23.5,37.0,24.8,10.7,100.0,64.2,4.1,25.2,32.7,23.7,14.4,100.0,75.7,3.7,23.6,42.6,22.0,8.0
"전북특별자치도","전체",계,100.0,64.2,1.5,12.8,35.3,34.7,15.7,100.0,73.2,1.1,7.5,41.9,37.7,11.7,100.0,79.1,0.5,9.4,42.3,35.6,12.2,100.0,81.2,1.2,8.9,41.4,34.8,13.6,100.0,84.1,1.1,10.2,46.0,31.6,11.0,100.0,81.6,2.0,12.7,41.8,34.2,9.3,100.0,85.6,3.9,22.0,36.6,25.9,11.6,100.0,79.2,3.6,30.7,28.1,24.7,12.8,100.0,83.1,3.9,26.0,32.7,24.9,12.5
"전북특별자치도","성별",남자,100.0,75.0,1.5,14.4,36.1,33.6,14.5,100.0,86.5,0.9,6.8,42.7,38.2,11.4,100.0,88.9,0.3,10.3,41.9,36.1,11.4,100.0,90.2,0.9,10.1,41.5,35.0,12.5,100.0,91.5,1.4,11.4,45.9,29.2,12.1,100.0,92.6,1.8,13.1,42.0,34.0,9.2,100.0,90.6,4.2,22.0,35.5,27.3,11.1,100.0,86.4,3.1,30.5,29.3,22.8,14.1,100.0,90.3,4.3,24.6,31.9,27.1,12.1
"전북특별자치도","성별",여자,100.0,54.0,1.5,10.8,34.2,36.3,17.2,100.0,60.7,1.4,8.6,41.0,36.9,12.1,100.0,70.1,0.8,8.4,42.7,35.0,13.1,100.0,72.5,1.6,7.5,41.3,34.7,14.9,100.0,77.4,0.8,8.9,46.2,34.2,9.9,100.0,71.0,2.3,12.3,41.6,34.4,9.4,100.0,80.8,3.5,22.1,37.8,24.3,12.3,100.0,72.2,4.2,30.9,26.7,26.9,11.3,100.0,76.1,3.4,27.6,33.7,22.3,13.0
"전라남도","전체",계,100.0,69.2,1.9,12.0,39.8,34.3,12.0,100.0,75.8,1.3,10.3,44.0,35.7,8.7,100.0,78.6,2.4,10.3,39.6,35.6,12.1,100.0,83.0,2.2,9.4,42.4,35.5,10.5,100.0,86.0,2.3,13.4,42.6,31.2,10.5,100.0,84.9,2.6,13.0,45.7,29.1,9.6,100.0,84.3,4.0,21.5,39.8,24.2,10.6,100.0,77.8,2.8,27.3,35.7,23.8,10.4,100.0,86.7,3.4,24.5,38.6,21.5,12.0
"전라남도","성별",남자,100.0,82.7,1.5,13.9,40.6,31.4,12.6,100.0,87.7,1.5,11.4,44.6,33.5,8.9,100.0,89.2,2.6,12.4,39.3,34.4,11.3,100.0,89.6,2.5,11.1,42.0,34.7,9.6,100.0,93.6,2.7,14.9,43.8,29.1,9.4,100.0,92.7,3.1,15.3,46.3,27.6,7.7,100.0,91.4,3.8,23.7,37.7,24.2,10.5,100.0,86.5,2.9,26.9,35.7,23.5,11.1,100.0,92.5,4.2,26.4,35.8,21.6,12.0
"전라남도","성별",여자,100.0,56.6,2.3,9.6,38.7,38.1,11.3,100.0,64.6,0.9,9.0,43.2,38.4,8.5,100.0,68.7,2.1,7.9,39.9,37.1,13.0,100.0,76.8,1.8,7.5,42.8,36.4,11.5,100.0,78.7,1.8,11.6,41.2,33.5,11.9,100.0,77.1,2.0,10.3,44.9,30.9,11.9,100.0,77.2,4.1,18.8,42.3,24.1,10.6,100.0,69.1,2.7,27.8,35.8,24.2,9.5,100.0,80.5,2.4,22.2,42.0,21.3,12.0
"경상북도","전체",계,100.0,69.8,1.1,12.8,37.8,35.1,13.2,100.0,72.6,0.9,10.2,39.9,36.8,12.1,100.0,80.5,1.0,8.3,40.9,38.9,10.9,100.0,78.5,1.1,10.3,46.6,34.1,8.0,100.0,86.3,1.2,11.5,40.3,37.2,9.9,100.0,83.4,1.4,11.9,42.3,34.1,10.3,100.0,85.7,3.3,20.0,34.6,29.0,13.0,100.0,79.8,2.3,22.0,36.2,26.0,13.6,100.0,86.2,2.7,20.8,38.8,27.7,10.0
"경상북도","성별",남자,100.0,82.8,0.9,14.5,37.9,34.1,12.6,100.0,91.1,0.8,11.4,40.0,36.1,11.7,100.0,92.7,0.8,10.6,40.0,38.9,9.8,100.0,89.7,1.4,11.7,46.0,32.5,8.4,100.0,94.0,1.2,12.6,41.3,35.5,9.4,100.0,91.6,1.6,12.4,40.9,34.8,10.3,100.0,91.9,3.0,20.6,31.7,30.2,14.4,100.0,86.7,2.8,22.9,35.9,25.8,12.7,100.0,92.9,3.6,21.8,37.4,27.8,9.4
"경상북도","성별",여자,100.0,57.2,1.4,10.4,37.7,36.5,14.0,100.0,55.0,1.2,8.4,39.7,37.9,12.8,100.0,68.8,1.4,5.3,42.0,39.0,12.2,100.0,67.6,0.6,8.6,47.3,36.1,7.4,100.0,78.8,1.2,10.1,39.0,39.1,10.5,100.0,75.3,1.2,11.3,43.8,33.4,10.2,100.0,79.5,3.6,19.3,37.9,27.7,11.4,100.0,72.7,1.7,20.9,36.5,26.2,14.7,100.0,79.2,1.6,19.7,40.4,27.6,10.7
"경상남도","전체",계,100.0,64.6,1.4,13.4,41.4,32.7,11.1,100.0,71.7,1.5,9.8,38.2,37.8,12.8,100.0,80.0,1.2,11.0,40.3,36.3,11.3,100.0,77.1,0.8,10.8,44.0,35.0,9.4,100.0,82.4,1.7,10.0,42.7,33.0,12.7,100.0,83.0,1.8,11.3,46.0,30.5,10.4,100.0,84.1,2.0,21.3,32.6,30.4,13.8,100.0,78.3,2.8,24.1,34.7,25.5,12.9,100.0,84.2,3.6,23.3,39.5,23.2,10.5
"경상남도","성별",남자,100.0,80.2,1.4,13.7,43.5,31.4,9.9,100.0,88.3,1.6,9.0,38.4,38.5,12.5,100.0,90.5,1.1,11.7,40.3,35.3,11.7,100.0,90.2,0.8,10.4,45.0,34.6,9.2,100.0,91.3,1.3,10.6,42.6,32.7,12.8,100.0,91.4,1.3,12.1,44.5,32.0,10.1,100.0,91.7,1.6,20.4,33.0,29.5,15.5,100.0,87.5,2.6,23.6,34.5,25.8,13.5,100.0,93.1,3.9,23.4,38.8,23.1,10.9
"경상남도","성별",여자,100.0,49.6,1.3,12.9,38.1,34.8,12.9,100.0,55.5,1.2,10.9,37.9,36.7,13.3,100.0,69.6,1.3,10.0,40.2,37.8,10.7,100.0,64.1,0.9,11.4,42.7,35.5,9.5,100.0,73.3,2.2,9.1,42.7,33.3,12.6,100.0,74.6,2.3,10.3,47.9,28.6,10.9,100.0,76.4,2.4,22.3,32.2,31.5,11.6,100.0,69.0,3.1,24.8,34.8,25.2,12.1,100.0,75.0,3.2,23.2,40.4,23.4,9.9
"제주특별자치도","전체",계,100.0,70.8,2.2,13.7,44.9,29.4,9.8,100.0,78.3,1.4,13.0,40.7,37.8,7.1,100.0,85.2,1.9,13.1,43.7,30.9,10.4,100.0,83.4,1.4,11.3,46.2,29.8,11.3,100.0,86.8,2.8,14.6,45.0,28.1,9.5,100.0,88.3,2.3,11.9,45.5,29.5,10.8,100.0,87.6,4.8,25.0,34.3,22.5,13.4,100.0,77.7,3.7,29.9,30.8,22.6,13.0,100.0,84.9,4.2,31.0,28.6,24.4,11.8
"제주특별자치도","성별",남자,100.0,81.6,2.2,14.3,43.6,29.5,10.4,100.0,87.5,1.2,12.8,39.9,38.6,7.5,100.0,89.8,1.7,11.8,43.2,32.3,10.9,100.0,89.1,1.5,12.6,46.6,28.2,11.1,100.0,91.8,2.6,16.2,46.6,26.8,7.8,100.0,91.7,1.0,10.0,46.8,30.7,11.5,100.0,93.1,4.1,25.1,32.5,22.6,15.6,100.0,83.9,2.7,27.0,31.5,24.5,14.3,100.0,86.7,4.7,29.3,28.0,23.4,14.5
"제주특별자치도","성별",여자,100.0,60.6,2.2,13.0,46.5,29.2,9.0,100.0,69.6,1.5,13.2,41.6,36.9,6.8,100.0,80.7,2.1,14.4,44.3,29.4,9.8,100.0,77.9,1.3,9.9,45.6,31.6,11.5,100.0,81.9,3.0,12.8,43.3,29.6,11.3,100.0,85.1,3.7,13.7,44.2,28.3,10.1,100.0,82.2,5.5,24.9,36.3,22.4,10.8,100.0,71.7,4.8,33.3,30.0,20.4,11.5,100.0,83.1,3.7,32.8,29.3,25.4,8.8
